NAME:,test2,,
39.735,-0.04,9.3,2.71
39.779,-1.18,9.61,2.55
39.823,-1.29,8.98,3.69
39.866,-0.78,9.02,5.53
39.91,2.55,12.83,2.16
39.955,2.47,20.01,-1.96
40,-1.84,5.61,-3.73
40.044,-3.3,13.53,2.08
40.089,0.08,10.79,-1.06
40.133,4.24,6.47,-1.06
40.178,-2.55,8.75,-0.67
40.221,-0.47,9.89,0.75
40.265,-2.47,9.69,0.51
40.309,-1.57,9.61,1.65
40.353,-0.78,9.3,1.1
40.396,-2.24,9.1,1.33
40.44,-2.43,8.83,1.26
40.484,-2,9.14,1.65
40.529,-2.31,10.28,2.28
40.573,-2.51,9.34,3.26
40.616,-4,9.57,3.57
40.662,-5.37,13.53,-1.33
40.707,0.55,16.48,-1.37
40.752,-1.49,9.41,-2.08
40.795,1.41,13.81,0.16
40.84,-1.77,7.77,-0.94
40.885,-2.35,8.43,-0.98
40.929,0.16,7.37,-0.59
40.971,2.16,8.94,1.02
41.015,-0.39,9.41,0.47
41.059,-1.33,9.22,1.33
41.102,0.08,7.92,1.65
41.144,0.2,9.06,2.59
41.188,-0.27,9.61,2.08
41.232,-1.06,9.92,3.14
41.276,-1.29,8.94,4.59
41.318,0.43,8.55,4.63
41.362,3.57,17.26,0.31
41.408,-0.2,18.01,-1.1
41.453,-2.04,5.53,-5.1
41.498,-1.73,17.61,1.02
41.541,0.63,7.61,-0.63
41.585,2.2,8.51,-1.37
41.629,-2.28,8.39,0.71
41.673,-0.55,9.77,0.78
41.716,-2.55,9.1,1.69
41.76,-0.43,9.18,1.37
41.804,-1.84,8.94,1.37
41.848,-2,9.1,1.41
41.891,-1.8,9.53,1.29522512
42.205,2.16,13.96,-0.71
42.25,-2.12,9.02,-1.14
42.295,-0.67,10.47,-0.24522915
42.383,0.94,8.28,-0.08
42.427,-0.47,8.28,0.12
42.47,-1.53,8.98,1.61
42.514,-0.82,8.98,1.41
42.557,0.2,8.08,2
42.6,0.43,9.73,2.43
42.644,-1.33,11.3,3.1
42.688,-0.82,9.34,3.84
42.732,-1.49,8.47,5.33
42.776,2.59,12.51,2.43
42.82,1.45,20.01,-1.33
42.865,-1.57,3.69,-3.8
42.911,-0.98,14.51,-2.55
42.956,-0.12,9.61,-0.59
43,5.06,6.39,-1.29
43.043,-2.43,9.65,0.71
43.087,-0.71,8.55,0.86
43.131,-1.69,9.65,1.29
43.175,-1.77,9.53,1.77
43.218,-1.53,8.75,1.65
43.262,-1.84,8.28,1.8
43.306,-2.2,8.71,1.53
43.351,-1.57,10.04,2.04
43.395,-2.16,10.36,2.94
43.439,-2.55,9.06,4.24
43.484,-4.59,10.59,2.47
43.53,-5.06,16.2,-1.49
43.575,0.98,13.45,-3.88
43.618,-1.33,9.61,1.37
43.664,-0.98,11.85,-1.14
43.709,-2.2,7.3,-0.39
43.754,-2.47,7.96,-0.63
43.796,0.9,8.08,0.51
43.84,0.71,10.94,0.39
43.884,-1.37,9.41,2.16
43.928,-0.75,8.67,1.41
43.97,0.08,7.81,1.57
44.013,0.51,7.92,2.51
44.056,0.04,9.14,2.08
44.1,-1.57,9.81,3.33
44.143,-1.37,8.94,5.02
44.186,0.08,9.18,4.71
44.23,2.31,20.01,0.94
44.275,1.14,10.9,-1.33
44.319,-3.14,5.26,-2.98
44.365,-0.67,15.06,-0.47
44.409,1.18,7.61,-0.55
44.453,0.43,8.63,-0.86
44.496,-1.65,9.22,0.43
44.54,-0.9,8.87,0.71
44.584,-1.26,9.77,1.26
44.628,-1.14,9.26,1.65
44.671,-2.08,8.36,1.65
44.715,-1.69,8.55,1.65
44.759,-1.73,9.3,1.41
44.804,-1.92,10.4,2.12
44.849,-3.02,10.63,3.69
44.892,-4.31,8.98,2.75
44.938,-5.06,14.2,-0.71
44.983,0.04,15.02,-1.53
45.029,-0.63,11.57,-2.12
45.073,1.96,13.1,0.51
45.117,-2.16,8.12,-1.53
45.162,-0.47,8.75,-1.06
45.206,0.86,7.49,-0.12
45.249,0.35,9.38,0.04
45.292,-0.67,8.87,0.63
45.336,-1.53,8.75,1.73
45.379,0.12,7.69,1.41
45.421,0.55,8.9,2.39
45.465,-0.16,9.34,2.16
45.509,-0.55,9.69,3.26
45.553,-1.84,9.1,5.22
45.595,1.57,9.18,3.92
45.64,2.55,20.01,-2.79
45.685,-2.51,9.1,-0.51
45.729,1.22,6.79,-5.69
45.775,-2,13.61,-0.04
45.818,2.31,6.98,-0.86
45.862,0.08,8.16,-0.04
45.907,-2.51,9.18,-0.08
45.951,-0.35,9.81,0.55
45.994,-2.31,9.57,1.69
46.037,0.27,9.61,1.26
46.081,-1.77,8.87,1.45
46.125,-1.61,8.87,1.49
46.168,-2.39,8.47,1.49
46.212,-1.69,9.73,1.49
46.257,-1.96,10.28,2.9
46.301,-2.55,9.06,3.96
46.345,-3.65,10,2.43
46.391,-4.94,16.2,-1.57
46.436,1.92,15.34,-1.84
46.481,-2.79,8.12,-0.2
46.525,1.65,13.61,0.2
46.569,-2.43,8.79,-1.02
46.614,-1.84,9.38,-0.75
46.658,1.33,7.69,-0.04
46.701,1.14,8.12,0.08
46.744,-2.28,8.9,1.57
46.788,-1.29,8.36,1.49
46.832,-0.04,7.57,2.2
46.876,-0.04,8.39,2.67
46.919,-0.82,9.92,2.47
46.964,-0.67,11.14,3.8
47.008,-1.88,8.28,5.92
47.051,0.94,8.16,4.82
47.094,3.02,19.73,0.75
47.138,1.14,7.92,-3.06
47.183,-3.18,8.67,-2.63
47.228,-2,16.55,0.27
47.271,3.3,6.28,-0.24
47.315,2.12,7.77,-0.71
47.359,-1.92,9.38,0.67
47.403,-1.22,9.49,0.43528022
47.842,-0.67,16.36,0.35
47.887,1.69,11.57,-2.71
47.933,-0.08,14.47,-0.35
47.978,-1.18,8.16,-1.18
48.022,-1.73,7.69,-0.75
48.067,-0.35,6.98,-0.71
48.111,1.61,10.12,0.86
48.154,0,9.26,1.1
48.197,-1.61,8.43,1.02
48.241,-0.31,8.75,1.49
48.284,0.67,7.69,2.28
48.327,0.2,9.3,2.31
48.371,-1.37,10.32,2.9
48.415,-1.33,9.1,3.53
48.459,-0.82,7.81,4.51
48.502,0.24,8.24,4.82
48.545,4.2,15.3,2.24
48.591,-2.71,14.32,-1.45
48.635,2.63,2.9,-3.69
48.68,-4.24,20.01,3.22
48.724,2.43,6.39,-0.82
48.767,5.3,7.41,-2.16
48.811,-3.53,9.53,1.37
48.855,-0.51,9.34,0.71
48.899,-2.28,9.22,1.1
48.942,-0.75,9.14,1.41
48.986,-2.2,8.16,1.37
49.03,-1.88,8.59,1.49
49.074,-2.51,9.41,1.69
49.118,-2.35,10.67,2.35
49.162,-3.53,9.02,3.88
49.206,-4,9.26,2
49.252,-5.84,18.44,-1.1
49.296,3.14,12.67,-4.12
49.34,1.73,14.16,0.55
49.385,2,11.49,-0.94
49.431,-1.18,10.32,-0.51
49.476,-0.67,9.06,-0.47
49.518,0.27,7.73,0.12
49.562,-0.12,7.96,0
49.606,-0.9,9.02,1.57
49.65,-1.57,9.18,1.45
49.692,0.86,7.06,1.29
49.735,1.18,9.18,2.55
49.779,-0.63,9.81,2.67
49.824,-0.9,10.16,3.69
49.867,-1.33,9.53,4.86
49.91,0.78,9.34,4.47
49.954,3.96,15.97,0.43
50,-0.63,11.45,-0.47
50.044,-3.02,6.32,-4.75
50.089,0.67,14.04,-1.57
50.133,2.63,7.49,-0.08
50.177,1.8,7.34,-2.04
50.221,-1.29,10.59,0.98
50.265,-2.04,8.28,1.06
50.309,-2.12,9.61,1.22
50.353,-0.16,9.45,0.82
50.396,-2.28,9.34,1.49
50.44,-2.47,9.34,2
50.484,-1.33,8.9,1.49
50.528,-1.29,9.06,1.92
50.571,-1.92,9.18,2.63
50.615,-2.51,9.3,3.88
50.659,-2.55,9.02,4.2
50.704,-6.24,12.63,1.92
50.749,-2.31,17.77,0.27
50.792,2.2,9.49,-4.08
50.836,0.27,11.92,1.88
50.881,-2.31,9.53,-2.04
50.925,-1.73,8.51,0.08
50.969,-1.88,7.02,-1.88
51.012,2.2,9.57,1.18
51.056,0.9,10.98,0.9
51.1,-2.47,8.67,2.16
51.142,0.24,7.53,1.77
51.185,0.27,7.65,2.71
51.228,0.86,8.98,2.04
51.272,-0.82,10.36,3.22
51.316,-0.71,9.49,4.71
51.36,-0.24,8.79,5.3
51.404,3.06,14.2,2.43
51.449,-0.75,15.3,1.37
51.492,1.49,6.16,-3.37
51.537,-4.67,14.08,0.75
51.581,0.31,8.28,-1.45
51.624,3.22,9.65,0.08
51.667,-1.84,7.96,0.82
51.711,-1.37,8.71,0.43
51.755,-0.12,9.92,0.94
51.799,-1.02,9.45,1.45
51.842,-0.35,9.41,1.96
51.886,-1.92,9.22,1.96
51.93,-2.28,8.39,1.84
51.974,-1.65,9.02,1.88
52.017,-2.35,9.18,2.28
52.061,-2.63,9.41,3.53
52.105,-3.14,9.41,4.04
52.15,-5.18,11.53,1.26
52.194,-4.35,17.3,0.2
52.24,-1.49,10.08,-2.67
52.284,1.84,13.53,0.63
52.33,-0.55,10.59,-1.45
52.375,-1.37,10.63,0.2
52.418,-0.86,8.83,0.2
52.462,1.18,7.61,-0.24
52.507,-0.04,8.75,-0.24
52.551,-1.69,8.51,1.69
52.594,-0.86,9.34,1.84
52.637,0.51,8.63,2
52.681,-0.35,8.16,3.57
52.725,-1.14,8.71,3.02
52.769,-0.75,10.24,4.08
52.813,-0.55,9.06,4.31
52.856,1.18,8.67,5.06
52.9,2.51,16.87,1.4153352
53.164,-2.2,9.45,0.78533784
53.339,-2,9.3,1.8
53.383,-2.82,9.65,2
53.427,-1.37,9.41,1.37
53.47,-1.41,9.69,2.2
53.514,-1.8,9.49,3.06
53.558,-1.49,8.87,3.88
53.603,-4.12,10.04,2.51
53.647,-3.8,14.47,1.1
53.693,-0.2,14.36,-0.2
53.738,-1.14,10.2,0.55
53.782,1.49,14.24,0.86
53.827,-1.88,8.43,-0.31
53.871,-2.59,8.39,-0.31
53.915,1.33,6.83,-0.35
53.958,0.98,8.2,0.08
54.003,-0.63,10.08,1.88
54.046,-1.33,8.28,1.92
54.09,-0.31,7.3,1.69
54.134,-0.04,7.85,2.94
54.179,-1.1,10.4,3.02
54.224,-0.27,11.61,4.16
54.267,-2.04,8.2,5.61
54.311,2.47,12.51,3.1
54.356,1.84,20.01,-1.02
54.4,0.47,4.2,-4.24
54.444,-5.33,13.38,5.18
54.489,-0.31,8.98,-1.18
54.533,4.31,8.36,-0.9
54.577,-1.53,8.08,1.22
54.621,-1.1,8.39,-0.16
54.665,-1.33,8.87,1.69
54.709,-1.33,9.69,1.73
54.753,-0.86,9.73,1.69
54.796,-1.61,8.94,1.53
54.84,-1.29,8.71,1.57
54.884,-2.43,9.26,1.8
54.928,-2.43,9.69,2.39
54.971,-2.63,9.92,3.37
55.015,-4,9.81,2.9
55.061,-5.45,15.49,-0.47
55.105,0.35,14.63,1.14
55.15,0.35,11.02,-2.94
55.193,2.08,13.85,0.86
55.237,-2.04,9.92,0.2
55.282,-1.41,10.08,0.27
55.326,0.35,6.71,-1.29
55.368,0.47,8.12,0.43
55.412,-0.12,9.38,0.16
55.456,-1.84,8.98,1.96
55.5,-1.1,8.32,2.51
55.543,-0.16,8.24,2.2
55.587,-0.16,8.71,2
55.631,0.27,10.47,3.45
55.676,-0.43,10.16,3.84
55.719,-0.86,9.3,5.53
55.763,1.8,10.63,4.04
55.808,2.35,20.01,-1.65
55.853,-2.31,4.39,-3.88
55.896,0.43,13.73,1.57
55.942,-2.08,11.14,-0.82
55.986,4.51,5.73,-1.02
56.03,-1.26,8.47,0.2
56.074,-1.96,8.08,0.47
56.117,-1.49,8.32,0.63
56.161,-1.22,9.89,2.47
56.205,-1.37,9.3,1.77
56.249,-2,8.24,1.96
56.292,-1.53,8.83,1.49
56.336,-2.28,9.96,2.35
56.381,-2.24,10.2,3.14
56.425,-3.14,9.3,4.79
56.469,-5.81,10.43,2.39
56.515,-5.1,16.59,-1.88
56.56,2.98,12.08,-4.35
56.605,-2.04,12.2,1.06
56.649,0.71,9.73,-0.94
56.693,-1.96,8.98,-1.29
56.738,-0.43,7.96,-0.9
56.782,1.33,7.57,-0.98
56.826,-0.47,9.06,0.31
56.869,-1.29,8.79,1.69
56.913,-0.27,8.43,1.84
56.956,0.16,7.92,1.88
56.999,0.27,8.08,2.39
57.041,0.08,9.45,3.49
57.085,-1.18,9.77,3.8
57.129,-0.47,9.02,4.28
57.171,0.86,9.73,5.14
57.216,2.67,20.01,-0.55
57.261,-1.61,6.94,-1.45
57.306,-1.14,9.45,-3.26
57.352,-0.63,11.14,-1.14
57.395,2.51,7.49,-0.35
57.439,-0.39,8.39,0.35
57.483,-1.26,9.18,0.98
57.527,-1.29,8.98,0.59
57.57,-2.31,9.77,1.61
57.614,-0.24,9.73,1.41
57.658,-1.53,9.02,1.49
57.702,-2.12,8.79,1.45
57.745,-2.04,9.34,1.53
57.789,-2.04,9.81,1.57
57.833,-2.31,9.41,3.18
57.877,-2.12,9.18,3.22
57.92,-3.18,9.53,4.71
57.965,-6.43,12,0.75
58.011,-1.73,17.65,-4.31
58.056,1.92,12.83,-4.63
58.101,-0.86,13.06,2.35
58.145,0.04,11.65,-0.78
58.19,-3.02,8.75,-0.08
58.235,-2.35,7.37,-0.35
58.279,2.63,7.85,-0.27
58.322,-0.78,7.73,1.73
58.366,-1.02,8.43,1.92
58.409,0.2,8.08,2.08539029
58.715,-1.49,8.36,-0.24539336
58.85,2.28,6.63,-0.75
58.893,2,9.02,-0.43
58.937,-2,8.9,0.31
58.981,-1.33,9.14,1.02
59.025,-0.78,9.89,0.82
59.068,-1.77,9.18,0.9
59.112,-1.61,8.79,1.61
59.156,-1.73,8.94,1.69
59.2,-1.96,8.98,1.22
59.244,-1.92,10,2.51
59.288,-2.43,9.65,2.43
59.332,-2.75,9.26,3.77
59.376,-3.69,9.26,3.77
59.42,-7.22,11.81,2.43
59.465,0.31,18.08,-0.82
59.511,-0.43,10.04,-3.26
59.555,0.67,13.26,1.92
59.6,-1.22,9.3,-0.67
59.644,-1.45,9.61,-0.75
59.689,-1.37,7.41,-0.67
59.733,2.35,7.92,-0.55
59.777,-0.2,9.53,0.63
59.82,-0.63,8.71,1.88
59.863,0.2,8.51,1.57
59.907,-0.39,8.32,1.53
59.951,-0.04,9.1,2.79
59.995,-0.35,10.28,2.47
60.039,-0.31,9.38,2.39
60.082,0.04,8.47,4.59
60.126,-0.16,8.98,5.33
60.168,0.43,7.69,4.75
60.212,3.92,16.08,1.49
60.258,-0.2,13.69,-1.26
60.303,-2.2,2.9,-2.55
60.349,-0.9,17.42,-1.45
60.391,2.9,7.92,0.86
60.435,2.9,7.3,-0.94
60.48,-1.96,10.04,0.9
60.524,-2.86,8.08,0.2
60.567,-1.88,9.53,1.69
60.611,-0.9,9.34,1.49
60.655,-2.16,8.51,1.45
